title,text,authors,tags,date_published,url
Почему демократизация 90-х оказалась ложной,"

Не так давно считалось, что Россия после перестройки двигалась к демократии – не без сложностей, но точно в нужную сторону. В начале нулевых процесс вроде бы развернулся, авторитарные тенденции стали брать вверх. Но Россия – тот случай, когда демократия так и не зародилась, полагает Мария Снеговая в статье в Journal of Democracy. Как получилось, что и внешние, и внутренние наблюдатели обманулись, приняв ослабление государства за демократизацию? «Рефорум» предлагает краткую текстовую версию беседы Марии Снеговой и Кирилла Петрова, состоявшейся на канале «О стране и мире».

Мария Снеговая, постдокторант Walsh School of Foreign Service, Georgetown University, старший сотрудник программы Европы, России и Евразии в Center for Strategic and International Studies (Washington)
Вариантов недемократических режимов очень много, демократия – скорее исключение. Так что путать демократический транзит с временным ослаблением авторитаризма или сменой одного авторитарного режима на другой – довольно типичная ошибка. 
Массовых периодов демократизации в истории человечества было всего три, и систематизированное знание о том, как это происходит, пока не сложилось. На фоне третьей волны демократизации конца 80-х – начала 90-х не в меру оптимистичные наблюдатели поверили в конец истории и в то, что человечество очевидно идёт в сторону демократии. Но уже 10 лет спустя стало понятно, что конец авторитарных режимов совсем не означает наступление демократии. Большинство стран, в том числе Россия, зависли как бы в лимбе, так как не имели достаточных структурных предпосылок, чтобы к этой демократии перейти. 
Правда в том, что мало что можно было сделать с учётом исходных данных. Страна у нас непростая, настоящего запроса на глубокую и сильную демократизацию, по сути, не было.
Исследователи обычно смотрят на первые свободные выборы после ослабления режима, на то, какой баланс возникает между оппозицией и представителями старого режима. В российском случае старый режим – это советские элиты, номенклатура, составлявшая 1-3% населения вместе с семьями. Эта тоненькая прослойка сумела удержаться у власти: почти на всём посткоммунистическом пространстве представители номенклатуры на первых выборах получили абсолютное большинство голосов – первый сигнал, что ситуация с демократией идет в не очень правильном направлении. Состав элит при Ельцине сохранился на 80-90%. Все советские институты в полном составе были перенесены в новую Россию – от регионального уровня и до МИДа и силового аппарата. Из примерно 300 олигархов, которые возникли после первой волны реформ, 43% были выходцами из номенклатуры. Красные директора перешли с формальной роли управленцев предприятий в роль их владельцев. 
При Путине ситуация сохранилась: в топ-100 путинских элит 60% – люди, которые начали номенклатурную карьеру в советское время, либо их дети, уход номенклатуры из власти происходит, как и при Брежневе, в основном за счёт естественных причин. В странах, например, Балтии элиты сменились куда существеннее. Это было связано с наличием массового либерального национального освободительного движения, которое выталкивало старые группы из власти и приводили к ротации элит на выборах.
Второй важный момент – что оппозиции не удалось взять ни одного регионального парламента, все достижения оппозиции были сосредоточены в городах-миллионниках. Прошло 30 лет, а ситуация почти не изменилась.
Почему такой акцент на элиты? Элиты составляют политические институты, а политические институты управляют нами. Тот факт, что сохранилась не просто элита, но и их связи, контакты, манера управления, обусловило реавтократизацию системы. Ельцин, которому мы многим обязаны, сам был той же номенклатурой и людей на ключевые посты назначал исходя из своих связей и опыта. В конце 90-х реформаторы в ельцинской команде сменились на консерваторов – сначала Черномырдин, потом Примаков, – во внешней политике стал заметен реваншистский курс. Путин становится кульминацией этого процесса и к середине 2000-х его завершает слиянием нескольких партий (номенклатурных групп) в «Единую Россию».
За рамками системы оставалось 97-99% населения, но люди не желали конкурировать, не хотели идти во власть, да и не могли туда попасть: даже в регионах все входы и выходы были очень быстро закупорены. Это обеспечило провал транзита.
Нам свойственно говорить: «Если бы Ельцин выбрал не чекиста, всё было бы иначе». Но все остальные кандидаты, Примаков, Лужков и пр., точно так же были из номенклатуры. Я утверждаю, что в силу инерции старой системы реавтократизация случилась бы и при них – просто, может быть, не столь чудовищная.
Кирилл Петров, политолог
Советская система была очень ригидной. Минимальный момент переговоров был только внутри политбюро, но те, у кого был этот опыт переговоров, после распада СССР были выключены из процесса принятия решений в силу возраста и пр. Остались те, кто был на средних и нижних уровнях и у кого этого опыта не было, так как в системе не было вертикальной мобильности. Зато был наибольший импульс к обретению власти. (Очень часто сыновья самых высокопоставленных членов советской элиты были весьма творческими людьми, которые не хотели этой власти – она у них уже была.)
Были группы, которые выиграли от курса Горбачёва, были те, кто проиграл. Кооперативное движение было легализовано с помощью номенклатуры, выиграла и среда, которая была полностью вне закона, т.е. частное предпринимательство. Выиграли силовые предприниматели, выиграли и стали опорой выигравших групп воины-интернационалисты среднего звена, от лейтенанта до полковника. Главная проигравшая группа – научно-техническая интеллигенция, она не получила даже тех благ, которые были у неё при старой системе.
В большинстве постсоветских республик элиты не просто сохранили власть и собственность, но и многократно их преумножили. Вопрос «а давайте мы будем просто политической элитой, без собственности» даже не ставился: если у тебя нет собственности, то ты и политической элитой не будешь.
Мария Снеговая
Каждая перегруппировка вырождается в то же самое: новые лица, представляющие те же элитные группы, врастают в свои кресла, стареют, это снова приводит к недовольству нижестоящих, снова происходят изменения, но сама система не меняется. Смена системы возможна только при возникновении структурного низового движения.
Если бы условный Алексей Навальный или другой политик с западным образованием, с иным опытом, пришёл во власть, он бы выстроил другую систему управления. Но советские элиты смогли лишь воссоздать то, с чем они были знакомы. Не случайно, когда Путин начал восстанавливать жёсткую вертикаль, в их рядах наступила эйфория: всё возвращалось на круги своя.
Кирилл Петров
Теория транзита – очень простая и притягательная. Это очень понятная метафора пути: мы идём из точки А в точку В, свет демократии нас озаряет и потом согреет. Но многих авторов она смущала и смущает. Я ещё студентом в 2000-х спорил иногда с преподавателями, которые подавали её как «отче наш». Кто-то уже в конце 90-х отмечал, что если вы считаете, что можно расстрелять парламент и продолжать демократизацию, – то вы, наверное, ошибаетесь. Но людям свойственно стремится к лучшему. Отмечу ещё, что транзит – это не то, куда мы идём, это то, куда нас везут. Такая вот обывательски приятная, одурманивающая метафора.
Мария Снеговая
С Ельциным России в целом повезло: на общем фоне российской истории, с учётом контекста и предпосылок он сделал куда больше, чем можно было ожидать. Из наших правителей лишь Александр II может похвастаться таким мощным либеральным реформаторством. Но радикальные лидеры, которые разворачивают страну, скорее исключения; короля делает свита. Тенденция фокусироваться на индивидах оставляет за рамками структурные факторы.
На исходе СССР даже Москве, самому богатому городу системы, угрожал голод. Все видели, что нужны перемены, все хотели их, все устали от бесконечных генсеков в телевизоре. Но сам по себе запрос на изменения не означает запроса на демократию, особенно если люди не понимают, о чём речь. Средний россиянин на вопрос, что такое демократия, ответит: это когда государство помогает народу, когда пенсии хорошие. Люди не хотели демократии, они хотели хорошо жить – и действительно стали жить лучше. А небольшая кучка диссидентов и либеральной интеллигенции мало что могла сделать в многомиллионной стране.
Когда была возможность, нужно было активнее идти во власть. Даже если это авгиевы конюшни, они сами не очистятся. Второй момент – люстрации. Никакая элита сама себя люстрировать не будет, так что это задача Запада. В 90-е Россия показала полную неспособность что-то с собой сделать, как-то решить свои проблемы. Внешнее вмешательство было необходимо; в то время, когда страна зависела от западных кредитов, нужно было требовать люстраций, требовать более глубоких реформ. Но Запад этого не потребовал и создал себе и всему миру отсроченную проблему в виде реваншистской, страдающей ресентиментом России. Этот опыт нужно учесть и в будущем всеми силами стремиться достичь максимальной ротации элит.
Повторюсь: не только для России характерна наивная убеждённость, что набитые полки в магазинах создать сложнее, чем демократию. Многие ждали, что демократии возникнут во многих регионах Латинской Америки и Африки, даже Джордж Буш-мл. считал, что можно установить демократию на Ближнем Востоке. Напомню, что эпизоды массовой демократизации очень редки, у нас очень небольшая выборка для их изучения. Благодаря России мы можем уточнить наши наблюдения – хоть в чём-то её вклад будет положительным.
Мы не детерминированы оставаться авторитарной системой. Есть и положительные тренды – они возникли до начала войны среди молодых групп. Модернизация шла, просто очень медленно. Первые ласточки этого процесса – протесты зимы 2011-2012 гг. Россия – большая инерционная страна, страдающая огромным постимперским синдромом. Нам свойственно замыкаться в пузыре больших городов, но в реальности белые воротнички – тоненькая прослойка, от 7 до 8 % населения. В остальном общество достаточно сильно подвержено традиционалистским установкам. Пока хотя бы доля этих людей не присоединится к более модернизированной части, ждать изменений рано. 
Работать с населением нужно, но нужно и понимать, что быстрых результатов ожидать не стоит. И не надо искажать данные и говорить, что вся страна против Путина и против войны. Ложь не приблизит нас к прекрасной России будущего. Война уничтожила гражданское общество, всё снова нужно начинать с нуля. 
Кирилл Петров
Что  больше способствует демократизации – устойчиво расколотая элита, как в Бельгии, или же элита гомогенная, разделяющая общие ценности, которая пытается практики внутреннего спокойного взаимодействия чуть-чуть расширить, как в современном Казахстане? Может быть, было бы лучше, если бы в современную Россию перешли какие-то практики советского политбюро, а не практики среднего и нижнего звена, привыкших повиноваться? В демократии важно ощущение, что ты споришь, но не насмерть, что всегда будет следующий день.

","['Кирилл Петров', 'Мария Снеговая']","['государство', 'общество', 'политический транзит']",16 Июл 2023,https://reforum.io/blog/2023/07/16/pochemu-demokratizacziya-90-h-okazalas-lozhnoj/
“Власть агрессивно защищает нормы из советских мультиков”,"

Начало преследования ЛГБТК-людей совпало с общим разворотом к авторитаризму. Сегодня людоедская сущность режима уже ничем не прикрыта, а государство открыто диктует гражданам, кем быть и с кем спать. Александр Воронов, директор ЛГБТК-группы «Выход», разбирается, как следует примирять государство, общество и ЛГБТК-сообщество, что первично – общественное мнение или законодательство, и объясняет, как так вышло, что граждане России не любят геев ещё сильнее, чем НАТО.

— Александр, каково сейчас быть гомосексуальной и вообще квир-персоной в России?
— Хуже, чем быть цисгендерной гетеро-персоной. Цис-персоны – привилегированные участники любого традиционалистского общества, в том числе российского, зачастую они не замечают свои привилегии и в основном не задумываются, каково это – такими привилегиями не обладать. А если не задумываться, то легко прийти к тезису «никто вас не трогает, пока вы не высовываетесь, живите с кем и как хотите, только тихо». Но есть очень много неочевидных со стороны уязвимостей.
Для ЛГБТ-персон осложняются самые базовые жизненные процессы. Однополым парам труднее снять квартиру – мало кто захочет сдать однушку с двуспальной кроватью двум молодым людям; им придётся врать (а разнополой паре не придётся) или искать по знакомым понимающего арендодателя. Если с твоим партнёром что-то случается, ты не можешь попасть к нему в реанимацию. Не можешь унаследовать имущество партнёра, усыновить ребенка, легально завести родных детей. Плюс группу, к которой ты относишься, по всем провластным каналам постоянно называют уродами и врагами – это огромное количество фонового стресса.
Об этой бытовой дискриминации большая часть населения не задумывается, пока у них не появляются друзья и знакомые, которые им об этом рассказывают. Только так, через личные контакты, эти проблемы становятся более видимыми, появляется ощущение, что их нужно как-то решать.
— А запрет ЛГБТ-пропаганды фактически сводит эту видимость к нулю?
— Да. Государство запрещает публично рассказывать о своей сексуальной ориентации и гендерной идентичности, если они противоречат властной идеологии, – и люди всё меньше говорят о себе, меньше делятся, закрывают страницы в соцсетях. Они словно исчезают. Общество всё меньше знает о проблемах, с которыми сталкиваются не-цисгетеро люди, и эти проблемы начинают казаться надуманными. К сожалению, чем менее видимы ЛГБТ-люди, тем хуже к ним относится общество в целом.
— Почему вообще людей, особенно среднего возраста, так задевают разговоры о правах ЛГБТ-персон, откуда столько агрессии в ответ, например, на рассказы о гей-прайдах?
— Потому что люди видят в этом попытку отнять у них одну из немногих базовых опор.

К сожалению, чем менее видимы ЛГБТ-люди, тем хуже к ним относится общество в целом

Население России либо бедное, либо было на грани бедности, реальность скудна и тревожна, уровень доверия и открытости низок. Часто самое дорогое, что люди проносят через жизнь, на что могут опереться – это воспоминания об относительно беззаботном детстве. А детство – это сильный папа и красивая мама, это бабушка и дедушка, сказки, где всегда есть принц и принцесса. Детское представление о том, как выглядит хорошая семья, – одно из немногих, в которых сходятся наши сограждане и за которое они держатся как за последний островок стабильности.
Задача нормального государства – чтобы в жизни людей было что-то большее, чем детские воспоминания. Но российское государство идёт по другому пути: вместо того, чтоб дать людям достойный уровень жизни, разнообразие возможностей самореализации, самоактуализации, оно громко и агрессивно защищает нормы из книжек и советских мультиков.
— Как же, это же традиционные ценности.
— Интересно, что до 2010 г. понятия «традиция» и «традиционные ценности» в законодательстве Российской Федерации применялись лишь в отношении так называемых «традиционных» обществ, а не городского населения России – например, оленеводов Крайнего Севера. Но потом эта мнимая традиция начинает выполнять охранительную и консервирующую функции, появляется и понятие «нетрадиционных» отношений. «Традиционные российские духовно-нравственные ценности» перекочевали в стратегии национальной политики и национальной безопасности.
— Гомофобы напирают на то, что гомосексуальность противна природе.
— Я бы сказал, что это гетеросексуальность не слишком природна. Это искусственная, социально обусловленная норма: мы просто не видим вокруг иных вариантов, кроме пар «мальчик-девочка», не видим, насколько широка на самом деле норма.
Животные чуть меньше смотрят телевизор и читают меньше книг, они не в курсе, что гетеросексуальность естественна. Гомосексуальное поведение встречается более чем у 450 видов животных. Да что животные – однополые сексуальные практики были широко распространены в Древнем мире, гендерное разнообразие, выходящее за рамки «мужского» и «женского», встречается во многих культурах: известно о существовании «третьего пола» у индейцев Северной Америки, чукчей и алеутов. В гомосексуальных отношениях нет ничего страшного, в трансгендерности тоже. Никого не должно беспокоить, что человек делает со своим телом – хоть пирсинг, хоть операции. Наша группа «Выход», кстати, выпустила бот для разговоров о квир-сообществе с теми, кто не разбирается в теме: он поможет ответить на основные предрассудки.
Исторически в Российской империи никого особо не волновало, каким утехам ты предаёшься. В СССР первые лет 15 тоже было очень свободно с нравами. Потом появилась статья за мужеложство: во времена репрессий по ней осуждали довольно активно, но с наступлением перестройки количество дел резко сократилось, а в 1993-м её отменили. 
Неокрепшее российское государство не стремилось лезть в жизнь граждан – было не до этого. Две целующиеся девушки из труппы «Тату» выступали от России на Евровидении, в телевизоре постоянно мелькал Борис Моисеев. Если бы не произошёл разворот в сторону автократии, мы могли бы через обсуждение и появление квир-людей и квир-образов в публичном поле прийти к нормализации, принятию и уважению человеческих прав.
— Но вместо этого государство начало лезть в трусы гражданам.
— Когда государство запрещает свободно распоряжаться своим телом и свободно выбирать партнёров – это последний гвоздь в гроб демократии и гражданских свобод.
Разворот к тоталитаризму наметился в 2012-2013 гг., когда были приняты первые законы о так называемой пропаганде ЛГБТ (кстати, первый закон о запрете пропаганды депутаты Госдумы не приняли – тогда были иные времена), и окончательно оформился сейчас, когда мы видим окончательный запрет пропаганды и попытки лишить нормальной жизни трансгендерных людей. Мы пришли туда, куда пришли: санкции, десятки тысячи задержанных на митингах и сотни политзаключённых, молодые люди, которые могли бы приносить деньги стране, уезжают, независимые СМИ душат, а по стране шагает армия наёмников. Плохо, что мы не слишком обращали внимание на то, как пристально государство начинает смотреть на личную жизнь граждан. А это предрекало все последующие события.
В идеале государство должно адекватно отражать действительность и реагировать на неё, закрепляя в законодательстве общественные нормы. Гражданин же должен быть законопослушен, но относиться к законодательству чуть критически. Это здоровый механизм делегирования тому, кто больше и сильнее. Плохо то, что пропаганда в авторитарном государстве пользуется этим механизмом для решения своих задач. Ты не думаешь, придут ли взаправду геи из НАТО за твоими детьми – ты думаешь, как платить ипотеку и как заставить ребёнка сделать уроки. И если в твоём окружении нет видимых квир-людей, то ты воспринимаешь информацию об ужасах ЛГБТ-пропаганды некритично. Да и зачем включаться, если твоё мнение никому не нужно и ни на что всё равно не повлияет.

Плохо, что мы не слишком обращали внимание на то, как пристально государство начинает смотреть на личную жизнь граждан

— ЛГБТ-пропаганда не работает?
— Не работает. В более открытом обществе действительно больше открытых квир-людей – потому что в закрытых обществах они скрываются, страдают, кончают с собой. Особенно тревожно за транс-персон: они подвержены риску суицида сильнее, чем гетеросексуальные люди и даже лесбиянки, геи и бисексуалы. Трансфобная инициатива депутатов – а Госдума в конце июня в первом чтении одобрила законопроект о «полном запрете смены пола» в России, – эти состояния усугубляет.
— Как исправить ситуацию? На Западе ещё 40-50 лет назад ЛГБТ-людей, бывало, преследовали.
— Мне видится важным сначала прописать равенство в законодательстве: принять законы об однополых браках или хотя бы партнёрствах, законы и механизмы, позволяющие совершать транс-переход. Потом остаётся работать с населением: избавляться от языка ненависти, делать квир-людей более видимыми (поэтому так важны прайды).
Правда, на Западе этот процесс идёт в иной логике. Там всё начинается не с законодательства, а с видимости.
В демократиях политики не могут действовать вопреки мнению большинства, а большинство по умолчанию консервативно, не хочет изменений, размытия нормы. Нужно, чтобы большинство осознало, что конкретные перемены необходимы, захотело их. Запрос на изменения может идти снизу, а может и сверху. Российское государство, например, успешно сформировало запрос на войну и восстановление империи – но можно использовать возможности и ресурсы власти и во благо. 
В норме государство целенаправленно формирует общественный запрос на равенство граждан перед законом, на равные права для всех вне зависимости от гендерных идентичностей и принадлежности к каким бы то ни было группам по каким угодно признакам. Отсюда поддержка прайдов и радужные флаги на улицах.
Проходит сколько-то времени – и общество спокойно принимает эти изменения. Принимает, что люди вольны распоряжаться своей жизнью и телом так, как считают нужным. В этот момент устраняются препоны для работы ЛГБТК-организаций, жизнь квир-людей становится легче. Постепенно возникает нормативная база, которая позволяет квир-людям существовать так же, как и всем остальным.
— Чтобы всё это получилось, нужна очень высокая степень демократизации общества.
— Безусловно. Потому что любой авторитарный и тоталитарный режим стоит на том, что он знает лучше, как жить гражданам, и имеет право вмешиваться в частную жизнь. Поэтому даже в демократиях необходимо постоянно напоминать обществу о равноправии и о том, к чему приводит нарушение прав отдельных групп.

",['Александр Воронов'],"['государство', 'ЛГБТ', 'общество', 'права человека']",10 Июл 2023,https://reforum.io/blog/2023/07/10/vlast-agressivno-zashhishhaet-normy-iz-sovetskih-multikov/
Как Путин не построил сильное государство,"

Мы привыкли верить, что Владимир Путин постоянно укрепляет вертикаль власти, строит сильное государство. Но фактически за 23 года он сумел лишь стать более-менее эффективным диктатором, раздавшим власть доверенным лицам. И когда доверенные лица выходят из повиновения и по стране ползут колонны мятежников – становится понятно: государство в России такое же слабое, как и в 90-е. Илья Матвеев, политолог, приглашённый исследователь университета в Беркли, сооснователь Новой школы политических наук и соведущий подкаста «Политический дневник», рассказывает, что Путин на самом деле строил все эти годы вместо вертикали. «Рефорум» предлагает сокращённую текстовую версию выступления Ильи на канале «О стране и мире».

После бунта Пригожина появилось много похожих статей – о том, что лицемерные претензии на силу государства, на вертикаль власти ничего на самом деле не стоят. Алексей Навальный из тюрьмы хорошо резюмировал общие настроения: «Это очевидно, но тем не менее это надо повторять снова и снова. Это не демократия, права человека и парламент делают власть слабой и ведут к потрясениям. Это диктаторы и узурпация власти ведут к бардаку, слабости государства и хаосу. Всегда».
Широкое согласие по этому вопросу позволяет надеяться, что, может быть, мы в какой-то момент перестанем повторять эти ошибки, выйдем из замкнутого круга, когда режим сильный, а государство слабое. А России, как и любой стране, нужно сильное государство: без эффективного дееспособного государства невозможен ни экономической рост, ни общественный порядок, ни эффективная внешняя политика.
Путин унаследовал слабое государство: с конца 80-х оно было в кризисе, расползалось на вотчины, на отдельные части, которые центр не контролировал. Горбачёв, попытавшись проводить реформы с помощью партии и одновременно подрывая власть этой партии, спровоцировал ситуацию, когда государственные элиты начали присваивать госсобственность. (Могли ли реформы пройти удачно – вопрос для другого разговора; альтернатива – китайский сценарий, либерализация экономики без демократизации.) К сожалению, всё закончилось тотальным кризисом государства и долгим кризисом государственным институтов. Поэтому государственническая риторика Путина в начале нулевых воспринималась хорошо.
Политолог Генри Хейл, придумавший термин «патронажные пирамиды», пишет, что бывает система с одной пирамидой патронажа, а бывает с многими. В 90-е их было много: Ельцин и «семья» контролировали небольшой участок власти в стране, своя пирамида была у каждого губернатора в его регионе. Пирамида во главе с Путиным подмяла под себя все остальные пирамиды. Были плюсы: когда закончилось растаскивание государства внешними людьми, включая олигархов, дела начали налаживаться. Но платой за это стал режим личной власти. В 90-е всё работало очень плохо, но было то, что Лукан Вэй называет плюрализмом по умолчанию, pluralism by default: ни у кого не было единоличной власти, конкурирующие сети патронажа создавали и возможность политической конкуренции. Да, все СМИ принадлежали олигархам, но это были разные олигархи.
Реформировать и укреплять государство очень трудно – особенно когда речь об административной реформе, при которой инертное государство вынуждено реформировать само себя. Путин обещал гражданам сложный путь, путь верховенства права – но на этом пути нужно было реформировать судебную систему, всю правоприменительную систему. Он пошёл по простому пути, и в итоге закон не относится к тем, кто эти законы придумывает. В вопросе управления экономикой Путин тоже не пошёл по сложному пути – не стал создавать эффективные институты, которые регулировали бы экономическую деятельность, и не позволил бизнесу заниматься эффективной экономической деятельностью в определённых рамках. Он выбрал простой путь – контролировать экономику лично, через своих друзей. В итоге не развивается ни бизнес, ни государство.
У Путина был шанс построить наконец сильное государство, но он им не воспользовался, построив вместо этого систему своей личной власти. Он оказался эффективным диктатором, но не оказался эффективным строителем государства.

Вместо того, чтобы наказать Пригожина, с ним дискутируют, оставляют его на свободе. После этого возможно всё

Некоторые исследователи считают, что Путин строил свой режим системно, знал, что ему нужен контроль над экономикой, СМИ, парламентом – и шёл в том направлении. Другие полагают, что плана изначально не было, что Путин действовал методом проб и ошибок, реагируя на внешние обстоятельства самым простым способом. Политологи Иван Григорьев и Анна Декальчук приводят пример: вот Путин пытается проводить либеральные реформы, например, принять новый Трудовой кодекс. Но Дума ещё не совсем под его контролем, и хотя кодекс принят и пенсионная реформа произошла, это получилось долго и с проблемами. Тогда Путину приходит в голову создать партию, которая будет штамповать его решения, заодно укрепляя его личную власть – и не нужно будет ни с кем постоянно договариваться. Он снова идёт по самому простому пути и создаёт «Единую Россию».
С госпорпорациями история была похожая. В середине нулевых даже Кудрин говорил, что не понимает, частная это собственность или государственная. Кто-то говорил, что происходит национализации, кто-то – что продолжается приватизация. Чемезов, возглавив «Рособоронэкспорт», подумал, что неплохо бы создать империю, где будет и производство, и экспорт, собрать все компании в одном месте. Путин идею одобрил и отдал эту империю Чемезову: Чемезов был надёжный товарищ по КГБ, и Путин верил, что если ему всё отдать, то он будет кровно заинтересован в сохранении этого политического режима. Или Сечин решил, что пора расширить и возглавить «Роснефть», предложил Путину раздербанить ЮКОС – и Путин решил, что полный госконтроль над нефтью – отличная идея, а Сечин станет его союзником. Так каждый раз Путину что-то предлагали (скорее всего, и Пригожин предлагал какие-то варианты и сценарии), были разные стимулы, угрозы, он смотрел, как складывается система, и принимал решения. Это не было сознательное строительство режима. А большое количество ресурсов в руках правящей клики давало возможность покупать себе сторонников вместо того, чтобы создавать сильные институты. Это и есть основная беда ресурсного проклятия.
К слову, ситуация, когда человек у Путина на доверии атакует министра, уже случалась – с Улюкаевым и Сечиным. В 2016-м Алексей Улюкаев, тогда глава Минэкономразвития, возражал против поглощения «Роснефтью» компании «Башнефть» («Башнефть» осталась без владельца, когда стали преследовать Владимира Евтушенкова). Да и всё правительство возражало, и сам Путин сказал, что не должно быть расширения госсобственности. Однако Сечин уговорил Путина и посадил федерального министра в тюрьму с помощью офицеров ФСБ, которых использовал как собственный силовой ресурс. Тот мини-мятеж госкорпорации против государства удался, потому что у Улюкаева не было армии. А у Шойгу она была – и у Пригожина ничего не вышло.
Мне кажется, главный итог мятежа Пригожина – все увидели, что король голый. Увидели, что вооружённый мятеж не заканчивается проблемами для тех, кто его организовал – даже когда убито больше десятка лётчиков Минобороны. Что вместо того, чтобы наказать Пригожина, с ним дискутируют, оставляют его на свободе. После этого возможно всё. Этого джинна обратно в бутылку уже не затолкать.

Во время войны проблема транзита власти очень осложняется

Что же именно возможно?
Во время войны проблема транзита власти очень осложняется. В российской политической системе есть скрытый конфликт между элитами, которые хотят закончить войну, и теми, кто хочет её продолжать. Первый путь для огромного количества элит неприемлем, зато вполне приемлем для олигархов: они видят в нём ключ к реинтеграции в Европу, к снятию санкций, восстановлению довоенного статус кво. Если с Путиным что-то произойдёт или одна из сторон выступит против другой – конфликт будет мощный. Это будет не просто раздел путинского наследства, а раздел наследства во время вендетты. У Пригожина есть своя армия, но своя армия есть и у Кадырова, и «Вагнера» – не единственная ЧВК, воюющая в Украине. У госкорпораций есть свои ЧВК, в регионах есть свои батальоны. Всё может произойти по совершенно неконтролируемому сценарию.
Не забываем, что путинская гиперцентрализация не сняла, а подавила, вытеснила вопросы национальной автономии. Как только централизация снизится, эти вопросы снова возникнут. С каждой национальной республикой придётся договариваться заново. С Татарстаном, допустим, может получиться наладить отношения на партнёрской основе, а как быть с критическими случаями вроде Чечни? Что с ней будет после демократического перехода – Кадырова придётся свергать? У него есть лояльные силовики, есть собственные институты, в которые он никому не позволяет вмешиваться. В регионе даже статистика своя, в академические расчёты её, как правило, не включают за невалидностью. Понадобится второй демократический переход, только для Чечни. Как в процессе избежать конфликта, вернуть ситуацию в республике в правовое русло – очень острые вопросы, о них нужно думать.
Большая проблема и в том, что роль населения, граждан России всегда была ограниченной. В 90-е люди занимались выживанием и не могли закладывать фундамент прочного демократического государства – не было ресурсов, времени, понимания, как это делать, сложившейся интеллектуальной сферы. В нулевые годы они ушли в частную жизнь – а что им ещё было делать после такого десятилетия и в отсутствии традиции политического участия, бросить всё и строить демократическое государство? Путин хорошо понимал, что предлагает сделку, которая сработает: люди здесь и сейчас получают то, что им нужно, и не будет против сосредоточения рычагов власти и собственности в его руках. Но в итоге люди остались ни с чем: ни экономического роста, ни невмешательства государства в жизнь давно нет. Граждане страны гибнут на бессмысленной войне, в стране вооружённый мятеж. Этот сценарий будет повторяться, пока люди не возьмут контроль над своей политической судьбой в собственные руки. Надеюсь, вывод будет сделан.

",['Илья Матвеев'],"['государство', 'общество']",09 Июл 2023,https://reforum.io/blog/2023/07/09/kak-putin-ne-postroil-silnoe-gosudarstvo/
